student_name,grade,section,subject,subject_total_assigned,subject_total_done,overall_pct_all_subjects,tier
أحمد محمد علي,الثالث,1,الرياضيات,10,10,96.7,بلاتينية
أحمد محمد علي,الثالث,1,العلوم,10,10,96.7,بلاتينية
أحمد محمد علي,الثالث,1,اللغة العربية,10,9,96.7,بلاتينية
سارة محمود,الثالث,1,الرياضيات,10,0,0.0,لا يستفيد من النظام
سارة محمود,الثالث,1,العلوم,10,0,0.0,لا يستفيد من النظام
سارة محمود,الثالث,1,اللغة العربية,10,0,0.0,لا يستفيد من النظام
فاطمة علي أحمد,الثالث,1,الرياضيات,10,8,90.0,بلاتينية
فاطمة علي أحمد,الثالث,1,العلوم,10,9,90.0,بلاتينية
فاطمة علي أحمد,الثالث,1,اللغة العربية,10,10,90.0,بلاتينية
محمد خالد سعيد,الثالث,1,الرياضيات,10,6,70.0,فضية
محمد خالد سعيد,الثالث,1,العلوم,10,8,70.0,فضية
محمد خالد سعيد,الثالث,1,اللغة العربية,10,7,70.0,فضية
